DP;DPNOM;AÑO;ÁREA GEOGRÁFICA;Hombres_0;Hombres_1;Hombres_2;Hombres_3;Hombres_4;Hombres_5;Hombres_6;Hombres_7;Hombres_8;Hombres_9;Hombres_10;Hombres_11;Hombres_12;Hombres_13;Hombres_14;Hombres_15;Hombres_16;Hombres_17;Hombres_18;Hombres_19;Hombres_20;Hombres_21;Hombres_22;Hombres_23;Hombres_24;Hombres_25;Hombres_26;Hombres_27;Hombres_28;Hombres_29;Hombres_30;Hombres_31;Hombres_32;Hombres_33;Hombres_34;Hombres_35;Hombres_36;Hombres_37;Hombres_38;Hombres_39;Hombres_40;Hombres_41;Hombres_42;Hombres_43;Hombres_44;Hombres_45;Hombres_46;Hombres_47;Hombres_48;Hombres_49;Hombres_50;Hombres_51;Hombres_52;Hombres_53;Hombres_54;Hombres_55;Hombres_56;Hombres_57;Hombres_58;Hombres_59;Hombres_60;Hombres_61;Hombres_62;Hombres_63;Hombres_64;Hombres_65;Hombres_66;Hombres_67;Hombres_68;Hombres_69;Hombres_70;Hombres_71;Hombres_72;Hombres_73;Hombres_74;Hombres_75;Hombres_76;Hombres_77;Hombres_78;Hombres_79;Hombres_80;Hombres_81;Hombres_82;Hombres_83;Hombres_84;Hombres_85;Hombres_86;Hombres_87;Hombres_88;Hombres_89;Hombres_90;Hombres_91;Hombres_92;Hombres_93;Hombres_94;Hombres_95;Hombres_96;Hombres_97;Hombres_98;Hombres_99;Hombres_100 y más;Mujeres_0;Mujeres_1;Mujeres_2;Mujeres_3;Mujeres_4;Mujeres_5;Mujeres_6;Mujeres_7;Mujeres_8;Mujeres_9;Mujeres_10;Mujeres_11;Mujeres_12;Mujeres_13;Mujeres_14;Mujeres_15;Mujeres_16;Mujeres_17;Mujeres_18;Mujeres_19;Mujeres_20;Mujeres_21;Mujeres_22;Mujeres_23;Mujeres_24;Mujeres_25;Mujeres_26;Mujeres_27;Mujeres_28;Mujeres_29;Mujeres_30;Mujeres_31;Mujeres_32;Mujeres_33;Mujeres_34;Mujeres_35;Mujeres_36;Mujeres_37;Mujeres_38;Mujeres_39;Mujeres_40;Mujeres_41;Mujeres_42;Mujeres_43;Mujeres_44;Mujeres_45;Mujeres_46;Mujeres_47;Mujeres_48;Mujeres_49;Mujeres_50;Mujeres_51;Mujeres_52;Mujeres_53;Mujeres_54;Mujeres_55;Mujeres_56;Mujeres_57;Mujeres_58;Mujeres_59;Mujeres_60;Mujeres_61;Mujeres_62;Mujeres_63;Mujeres_64;Mujeres_65;Mujeres_66;Mujeres_67;Mujeres_68;Mujeres_69;Mujeres_70;Mujeres_71;Mujeres_72;Mujeres_73;Mujeres_74;Mujeres_75;Mujeres_76;Mujeres_77;Mujeres_78;Mujeres_79;Mujeres_80;Mujeres_81;Mujeres_82;Mujeres_83;Mujeres_84;Mujeres_85;Mujeres_86;Mujeres_87;Mujeres_88;Mujeres_89;Mujeres_90;Mujeres_91;Mujeres_92;Mujeres_93;Mujeres_94;Mujeres_95;Mujeres_96;Mujeres_97;Mujeres_98;Mujeres_99;Mujeres_100 y más;Total_0;Total_1;Total_2;Total_3;Total_4;Total_5;Total_6;Total_7;Total_8;Total_9;Total_10;Total_11;Total_12;Total_13;Total_14;Total_15;Total_16;Total_17;Total_18;Total_19;Total_20;Total_21;Total_22;Total_23;Total_24;Total_25;Total_26;Total_27;Total_28;Total_29;Total_30;Total_31;Total_32;Total_33;Total_34;Total_35;Total_36;Total_37;Total_38;Total_39;Total_40;Total_41;Total_42;Total_43;Total_44;Total_45;Total_46;Total_47;Total_48;Total_49;Total_50;Total_51;Total_52;Total_53;Total_54;Total_55;Total_56;Total_57;Total_58;Total_59;Total_60;Total_61;Total_62;Total_63;Total_64;Total_65;Total_66;Total_67;Total_68;Total_69;Total_70;Total_71;Total_72;Total_73;Total_74;Total_75;Total_76;Total_77;Total_78;Total_79;Total_80;Total_81;Total_82;Total_83;Total_84;Total_85;Total_86;Total_87;Total_88;Total_89;Total_90;Total_91;Total_92;Total_93;Total_94;Total_95;Total_96;Total_97;Total_98;Total_99;Total_100 y más;Total Hombres;Total Mujeres;Total;
05;Antioquia;2016;Total;44860;45056;45267;45508;45787;46109;46480;46925;47449;48065;48753;49486;50265;51181;52114;53060;54069;55069;55795;56326;56572;56522;56237;55789;55240;54451;53328;51991;50733;49574;48547;47819;47235;46590;45810;44685;43077;41154;39199;37304;35822;34959;34668;34571;34640;34930;35390;35924;36400;36777;36816;36418;35718;34759;33728;32499;31326;30058;28730;27383;26023;24681;23380;22118;20865;19651;18520;17439;16345;15279;14241;13182;12144;11157;10198;9312;8482;7725;7003;6345;5730;5174;4645;4173;3708;3296;2909;2549;2235;1916;1647;1391;1151;918;738;657;591;630;331;287;771;42810;42994;43216;43447;43727;44026;44400;44844;45352;45942;46626;47316;48128;49030;49977;50916;52028;53134;54095;54926;55507;55803;55794;55593;55259;54631;53685;52540;51504;50536;49851;49452;49249;49001;48592;47861;46600;45033;43395;41813;40659;40065;40018;40153;40508;41026;41715;42477;43161;43683;43849;43467;42723;41753;40576;39274;37953;36570;35102;33544;32024;30453;28948;27434;25963;24533;23181;21834;20552;19259;17989;16676;15431;14174;12976;11868;10814;9863;8982;8152;7395;6703;6093;5512;4947;4453;3981;3547;3137;2743;2390;2056;1753;1443;1187;1058;920;977;580;497;1391;87670;88050;88483;88955;89514;90135;90880;91769;92801;94007;95379;96802;98393;100211;102091;103976;106097;108203;109890;111252;112079;112325;112031;111382;110499;109082;107013;104531;102237;100110;98398;97271;96484;95591;94402;92546;89677;86187;82594;79117;76481;75024;74686;74724;75148;75956;77105;78401;79561;80460;80665;79885;78441;76512;74304;71773;69279;66628;63832;60927;58047;55134;52328;49552;46828;44184;41701;39273;36897;34538;32230;29858;27575;25331;23174;21180;19296;17588;15985;14497;13125;11877;10738;9685;8655;7749;6890;6096;5372;4659;4037;3447;2904;2361;1925;1715;1511;1607;911;784;2162;3000534;3210778;6211312;
08;Atlántico;2016;Total;20771;20937;21038;21135;21224;21304;21397;21500;21610;21720;21841;21962;22064;22146;22236;22220;22138;21964;21766;21510;21285;21184;21079;20939;20721;20449;20011;19518;19032;18658;18332;18121;17955;17791;17558;17217;16731;16151;15562;14996;14503;14127;13890;13722;13635;13597;13605;13599;13589;13512;13384;13211;12937;12634;12248;11805;11314;10781;10245;9669;9155;8637;8196;7726;7310;6869;6449;6001;5601;5171;4810;4433;4100;3774;3463;3161;2888;2646;2401;2166;1977;1785;1617;1444;1291;1156;1016;907;795;690;589;504;430;343;271;239;222;241;137;118;319;20175;20210;20249;20311;20396;20472;20587;20700;20828;20974;21119;21276;21406;21523;21617;21602;21516;21347;21204;21015;20910;20896;20950;20918;20811;20602;20260;19831;19456;19138;18910;18789;18765;18698;18585;18352;17966;17429;16904;16362;15900;15596;15385;15287;15270;15283;15342;15390;15421;15381;15284;15115;14839;14523;14096;13634;13115;12529;11957;11361;10768;10241;9722;9240;8744;8272;7766;7258;6794;6312;5884;5466;5074;4697;4304;3967;3628;3334;3037;2789;2551;2314;2120;1938;1775;1579;1447;1294;1168;1046;927;823;708;603;501;466;423;431;251;208;581;40946;41147;41287;41446;41620;41776;41984;42200;42438;42694;42960;43238;43470;43669;43853;43822;43654;43311;42970;42525;42195;42080;42029;41857;41532;41051;40271;39349;38488;37796;37242;36910;36720;36489;36143;35569;34697;33580;32466;31358;30403;29723;29275;29009;28905;28880;28947;28989;29010;28893;28668;28326;27776;27157;26344;25439;24429;23310;22202;21030;19923;18878;17918;16966;16054;15141;14215;13259;12395;11483;10694;9899;9174;8471;7767;7128;6516;5980;5438;4955;4528;4099;3737;3382;3066;2735;2463;2201;1963;1736;1516;1327;1138;946;772;705;645;672;388;326;900;1182828;1244218;2427046;
11;Bogotá, D.C.;2016;Total;49334;49144;49013;48967;48988;49098;49293;49598;50009;50540;51199;51914;52861;53955;55226;56991;59565;62503;65199;67978;69886;70439;70043;69620;69036;68138;67041;65808;64561;63320;62265;61455;60800;59973;58941;57572;55818;53760;51531;49403;47536;45973;44796;43943;43377;43045;42899;42894;42829;42626;42276;41663;40832;39792;38627;37195;35642;33867;32113;30305;28591;26933;25371;23816;22313;20827;19479;18196;16905;15677;14500;13395;12313;11248;10277;9335;8477;7662;6942;6253;5593;5073;4544;4057;3607;3190;2817;2469;2146;1856;1585;1338;1112;904;708;612;509;476;352;299;837;46758;46664;46586;46600;46680;46849;47107;47474;47947;48552;49299;50149;51216;52427;53741;55553;58176;61216;64162;67345;69724;70735;70670;70456;69933;69021;67980;66830;65672;64737;64115;63843;63719;63425;62742;61750;60340;58688;56875;55211;53699;52315;51454;50930;50669;50671;50915;51314;51551;51649;51455;51015;50232;49233;47986;46528;44768;42875;40875;38849;36854;34902;32975;31067;29235;27443;25788;24214;22655;21119;19655;18232;16851;15530;14249;13034;11920;10890;9949;9045;8174;7501;6802;6149;5523;4978;4448;3963;3510;3086;2693;2320;1972;1638;1330;1164;985;840;632;534;1510;96092;95808;95599;95567;95668;95947;96400;97072;97956;99092;100498;102063;104077;106382;108967;112544;117741;123719;129361;135323;139610;141174;140713;140076;138969;137159;135021;132638;130233;128057;126380;125298;124519;123398;121683;119322;116158;112448;108406;104614;101235;98288;96250;94873;94046;93716;93814;94208;94380;94275;93731;92678;91064;89025;86613;83723;80410;76742;72988;69154;65445;61835;58346;54883;51548;48270;45267;42410;39560;36796;34155;31627;29164;26778;24526;22369;20397;18552;16891;15298;13767;12574;11346;10206;9130;8168;7265;6432;5656;4942;4278;3658;3084;2542;2038;1776;1494;1316;984;833;2347;3495609;3805309;7300918;
13;Bolívar;2016;Total;19436;19391;19356;19333;19324;19325;19326;19364;19406;19458;19534;19595;19670;19750;19785;19752;19531;19197;18818;18342;17922;17663;17478;17254;17035;16710;16323;15866;15470;15131;14816;14568;14295;14060;13772;13449;13124;12826;12471;12174;11906;11661;11448;11330;11275;11234;11203;11155;11061;10958;10782;10548;10249;9891;9501;9117;8721;8416;8033;7688;7333;6990;6635;6311;6004;5658;5324;4956;4608;4260;3949;3686;3470;3209;2994;2771;2572;2387;2207;2052;1885;1738;1590;1465;1324;1223;1091;988;866;776;670;572;496;407;325;270;263;270;154;136;383;18351;18305;18259;18220;18196;18187;18175;18205;18241;18292;18369;18459;18561;18719;18853;18926;18772;18544;18241;17884;17561;17401;17270;17109;16922;16665;16390;15996;15714;15415;15202;14971;14796;14602;14375;14105;13836;13527;13197;12890;12634;12386;12187;12089;12006;11982;11940;11888;11794;11701;11496;11261;10958;10613;10192;9806;9420;9045;8669;8291;7904;7539;7192;6836;6526;6183;5825;5444;5067;4719;4405;4106;3857;3592;3360;3100;2890;2684;2473;2305;2126;1964;1815;1680;1535;1397;1276;1162;1035;929;819;717;614;521;426;381;359;354;282;253;752;37787;37696;37615;37553;37520;37512;37501;37569;37647;37750;37903;38054;38231;38469;38638;38678;38303;37741;37059;36226;35483;35064;34748;34363;33957;33375;32713;31862;31184;30546;30018;29539;29091;28662;28147;27554;26960;26353;25668;25064;24540;24047;23635;23419;23281;23216;23143;23043;22855;22659;22278;21809;21207;20504;19693;18923;18141;17461;16702;15979;15237;14529;13827;13147;12530;11841;11149;10400;9675;8979;8354;7792;7327;6801;6354;5871;5462;5071;4680;4357;4011;3702;3405;3145;2859;2620;2367;2150;1901;1705;1489;1289;1110;928;751;651;622;624;436;389;1135;1000545;1012465;2013010;
15;Boyacá;2016;Total;9401;9451;9517;9599;9675;9744;9840;9921;10008;10097;10189;10234;10310;10361;10411;10433;10459;10421;10361;10241;10048;9829;9564;9232;8855;8575;8368;8273;8196;8161;8138;8142;8114;8144;8132;8120;8048;7957;7832;7725;7633;7496;7380;7279;7256;7222;7176;7122;7060;6976;6855;6776;6682;6581;6423;6291;6133;5936;5766;5598;5383;5198;4977;4774;4577;4366;4147;3924;3706;3465;3277;3077;2917;2760;2580;2426;2273;2138;1999;1864;1741;1622;1510;1377;1281;1162;1052;945;842;747;613;518;445;330;235;227;275;93;57;42;109;8812;8880;8938;9011;9049;9108;9169;9232;9305;9368;9453;9487;9563;9655;9704;9788;9878;9954;9955;9858;9699;9542;9327;9062;8822;8619;8524;8500;8443;8490;8467;8492;8491;8498;8535;8502;8437;8362;8251;8162;8079;8008;7901;7903;7907;7890;7887;7846;7804;7700;7617;7552;7433;7332;7157;6995;6794;6620;6408;6217;6017;5778;5533;5317;5113;4889;4669;4454;4229;4010;3807;3613;3405;3225;3027;2855;2680;2501;2361;2196;2060;1913;1794;1664;1527;1418;1288;1165;1038;923;833;717;605;480;344;299;286;285;101;80;219;18213;18331;18455;18610;18724;18852;19009;19153;19313;19465;19642;19721;19873;20016;20115;20221;20337;20375;20316;20099;19747;19371;18891;18294;17677;17194;16892;16773;16639;16651;16605;16634;16605;16642;16667;16622;16485;16319;16083;15887;15712;15504;15281;15182;15163;15112;15063;14968;14864;14676;14472;14328;14115;13913;13580;13286;12927;12556;12174;11815;11400;10976;10510;10091;9690;9255;8816;8378;7935;7475;7084;6690;6322;5985;5607;5281;4953;4639;4360;4060;3801;3535;3304;3041;2808;2580;2340;2110;1880;1670;1446;1235;1050;810;579;526;561;378;158;122;328;590818;609160;1199978;
17;Caldas;2016;Total;6328;6342;6366;6389;6428;6477;6537;6622;6736;6855;6994;7126;7266;7439;7615;7759;7907;8021;8119;8154;8166;8184;8134;8049;7903;7697;7507;7260;7086;6891;6785;6747;6770;6789;6791;6748;6594;6396;6204;6026;5886;5875;5870;5964;6064;6167;6213;6287;6306;6336;6319;6305;6281;6209;6113;6003;5880;5763;5618;5469;5308;5079;4824;4589;4336;4080;3881;3658;3447;3227;3025;2792;2590;2389;2187;1999;1832;1683;1514;1384;1247;1139;1020;928;835;741;659;585;512;433;382;314;268;214;174;149;117;135;52;39;100;6092;6088;6099;6118;6148;6189;6250;6325;6416;6548;6683;6803;6970;7137;7316;7455;7615;7745;7838;7907;7971;8011;8031;8013;7945;7799;7666;7458;7309;7141;7065;7066;7134;7206;7243;7230;7122;6928;6749;6583;6452;6460;6521;6619;6753;6894;6976;7080;7132;7176;7192;7195;7176;7108;7003;6891;6767;6623;6452;6284;6083;5840;5529;5274;4986;4702;4467;4227;4009;3761;3531;3285;3075;2837;2625;2420;2223;2035;1887;1721;1580;1435;1320;1216;1083;1002;874;798;698;617;542;465;388;326;254;231;190;173;84;67;186;12420;12430;12465;12507;12576;12666;12787;12947;13152;13403;13677;13929;14236;14576;14931;15214;15522;15766;15957;16061;16137;16195;16165;16062;15848;15496;15173;14718;14395;14032;13850;13813;13904;13995;14034;13978;13716;13324;12953;12609;12338;12335;12391;12583;12817;13061;13189;13367;13438;13512;13511;13500;13457;13317;13116;12894;12647;12386;12070;11753;11391;10919;10353;9863;9322;8782;8348;7885;7456;6988;6556;6077;5665;5226;4812;4419;4055;3718;3401;3105;2827;2574;2340;2144;1918;1743;1533;1383;1210;1050;924;779;656;540;428;380;307;308;136;106;286;479002;508212;987214;
18;Caquetá;2016;Total;4368;4362;4369;4384;4388;4395;4396;4392;4387;4371;4349;4331;4305;4314;4270;4242;4196;4125;4053;3937;3854;3775;3693;3618;3532;3431;3347;3246;3175;3113;3072;3014;2923;2880;2786;2708;2641;2537;2464;2380;2312;2247;2189;2152;2130;2069;2073;2008;1980;1910;1866;1826;1758;1704;1617;1577;1506;1443;1375;1329;1238;1199;1142;1060;1004;970;901;870;834;774;747;691;639;605;553;512;479;444;393;379;332;314;283;247;233;197;179;159;138;125;100;86;69;62;47;41;39;28;16;15;38;4142;4142;4148;4153;4157;4156;4158;4146;4133;4116;4084;4048;4019;3973;3930;3902;3859;3789;3735;3644;3579;3507;3433;3389;3328;3278;3186;3099;3042;2949;2914;2867;2808;2786;2728;2686;2628;2585;2512;2467;2418;2359;2345;2289;2295;2250;2228;2173;2119;2077;2012;1946;1868;1803;1715;1632;1548;1495;1400;1344;1260;1188;1127;1046;983;922;868;823;745;741;664;636;582;538;496;465;414;398;345;324;312;268;250;225;195;186;168;138;122;114;95;90;63;50;43;46;30;34;21;19;52;8510;8504;8517;8537;8545;8551;8554;8538;8520;8487;8433;8379;8324;8287;8200;8144;8055;7914;7788;7581;7433;7282;7126;7007;6860;6709;6533;6345;6217;6062;5986;5881;5731;5666;5514;5394;5269;5122;4976;4847;4730;4606;4534;4441;4425;4319;4301;4181;4099;3987;3878;3772;3626;3507;3332;3209;3054;2938;2775;2673;2498;2387;2269;2106;1987;1892;1769;1693;1579;1515;1411;1327;1221;1143;1049;977;893;842;738;703;644;582;533;472;428;383;347;297;260;239;195;176;132;112;90;87;69;62;37;34;90;203376;196607;399983;
19;Cauca;2016;Total;12030;12042;12075;12127;12173;12256;12345;12466;12616;12781;12985;13178;13376;13576;13785;13946;14045;14088;14052;13913;13754;13554;13320;12989;12566;12194;11913;11678;11458;11288;11125;11017;10914;10789;10657;10432;10131;9736;9351;8962;8604;8305;8085;7885;7774;7658;7544;7422;7317;7152;7029;6927;6793;6669;6497;6334;6107;5896;5674;5451;5225;5014;4838;4617;4433;4256;4043;3831;3646;3430;3253;3066;2895;2699;2539;2366;2210;2051;1931;1785;1669;1546;1413;1303;1188;1074;974;879;787;684;593;503;415;337;254;210;180;131;63;49;120;11488;11505;11535;11588;11641;11714;11801;11913;12051;12215;12408;12587;12809;13004;13240;13403;13523;13569;13573;13484;13352;13215;13029;12748;12411;12088;11858;11699;11513;11392;11297;11208;11136;11051;10964;10772;10506;10133;9754;9387;9059;8791;8588;8462;8344;8263;8165;8064;8000;7841;7749;7630;7543;7393;7227;7043;6792;6511;6262;5972;5706;5473;5230;5013;4784;4577;4344;4129;3913;3696;3514;3313;3125;2947;2753;2562;2419;2248;2105;1955;1829;1693;1587;1446;1340;1226;1128;1018;917;836;727;637;547;451;359;305;248;234;120;99;273;23518;23547;23610;23715;23814;23970;24146;24379;24667;24996;25393;25765;26185;26580;27025;27349;27568;27657;27625;27397;27106;26769;26349;25737;24977;24282;23771;23377;22971;22680;22422;22225;22050;21840;21621;21204;20637;19869;19105;18349;17663;17096;16673;16347;16118;15921;15709;15486;15317;14993;14778;14557;14336;14062;13724;13377;12899;12407;11936;11423;10931;10487;10068;9630;9217;8833;8387;7960;7559;7126;6767;6379;6020;5646;5292;4928;4629;4299;4036;3740;3498;3239;3000;2749;2528;2300;2102;1897;1704;1520;1320;1140;962;788;613;515;428;365;183;148;393;711306;723089;1434395;
20;Cesar;2016;Total;12156;12186;12204;12225;12239;12234;12220;12199;12161;12111;12038;11980;11870;11771;11643;11511;11353;11174;10947;10700;10444;10262;10083;9925;9769;9592;9318;9024;8784;8550;8389;8207;8069;7937;7773;7599;7440;7272;7085;6865;6697;6518;6339;6212;6132;6033;5923;5767;5623;5449;5290;5142;4978;4818;4623;4418;4210;3983;3767;3532;3366;3222;3128;3040;2951;2865;2715;2507;2353;2165;1995;1857;1730;1596;1465;1349;1230;1139;1043;937;872;780;688;641;569;502;443;389;347;299;256;215;171;146;105;100;72;91;34;30;76;11600;11608;11606;11611;11618;11612;11593;11571;11531;11500;11456;11407;11328;11271;11195;11094;10980;10852;10694;10474;10278;10159;10029;9975;9900;9794;9588;9369;9127;8947;8789;8622;8511;8362;8238;8065;7919;7777;7600;7461;7264;7119;6946;6863;6750;6680;6536;6355;6217;5991;5808;5643;5448;5242;5024;4812;4582;4371;4143;3932;3718;3582;3415;3286;3168;3021;2822;2615;2396;2205;1984;1857;1707;1579;1431;1320;1197;1091;987;910;826;742;657;610;542;485;442;387;350;306;267;229;197;164;137;113;116;119;57;49;134;23756;23794;23810;23836;23857;23846;23813;23770;23692;23611;23494;23387;23198;23042;22838;22605;22333;22026;21641;21174;20722;20421;20112;19900;19669;19386;18906;18393;17911;17497;17178;16829;16580;16299;16011;15664;15359;15049;14685;14326;13961;13637;13285;13075;12882;12713;12459;12122;11840;11440;11098;10785;10426;10060;9647;9230;8792;8354;7910;7464;7084;6804;6543;6326;6119;5886;5537;5122;4749;4370;3979;3714;3437;3175;2896;2669;2427;2230;2030;1847;1698;1522;1345;1251;1111;987;885;776;697;605;523;444;368;310;242;213;188;210;91;79;210;564242;572057;1136299;
23;Córdoba;2016;Total;16522;16500;16486;16458;16435;16416;16394;16377;16367;16370;16362;16381;16341;16336;16313;16276;16198;16099;15931;15705;15485;15235;14987;14659;14265;13871;13473;13068;12745;12482;12267;12113;11958;11851;11716;11540;11392;11191;11008;10815;10650;10507;10365;10315;10313;10270;10215;10103;9939;9780;9565;9346;9144;8835;8544;8218;7917;7613;7328;7025;6704;6343;5942;5580;5208;4897;4705;4584;4433;4331;4156;3910;3651;3394;3145;2922;2706;2498;2303;2124;1953;1799;1633;1498;1353;1221;1102;992;877;766;668;571;484;393;312;276;229;237;118;98;264;15956;15865;15806;15778;15748;15730;15726;15721;15739;15756;15778;15797;15839;15883;15914;15934;15937;15887;15747;15560;15308;15130;14897;14647;14321;14019;13726;13447;13208;13045;12895;12750;12601;12525;12384;12252;12079;11886;11671;11427;11264;11052;10931;10842;10815;10769;10632;10496;10307;10080;9866;9627;9436;9148;8851;8537;8212;7889;7576;7260;6916;6528;6141;5752;5371;5042;4858;4681;4526;4388;4194;3933;3675;3399;3137;2899;2654;2454;2261;2067;1907;1738;1580;1434;1307;1179;1062;954;856;746;653;579;481;408;332;294;247;253;161;139;399;32478;32365;32292;32236;32183;32146;32120;32098;32106;32126;32140;32178;32180;32219;32227;32210;32135;31986;31678;31265;30793;30365;29884;29306;28586;27890;27199;26515;25953;25527;25162;24863;24559;24376;24100;23792;23471;23077;22679;22242;21914;21559;21296;21157;21128;21039;20847;20599;20246;19860;19431;18973;18580;17983;17395;16755;16129;15502;14904;14285;13620;12871;12083;11332;10579;9939;9563;9265;8959;8719;8350;7843;7326;6793;6282;5821;5360;4952;4564;4191;3860;3537;3213;2932;2660;2400;2164;1946;1733;1512;1321;1150;965;801;644;570;476;490;279;237;663;868760;875494;1744254;
