YEAR,MUNICIPIO,DPTO,CODE_DPTO,CODE_MUNICIPIO,CANTIDAD,POPULATION,LONGITUD,LATITUD
2019,BOGOTA,BOGOTA,11,11001,36179,7592871,-74.106715324,4.64993705899
2020,BOGOTA,BOGOTA,11,11001,35924,7743955,-74.106715324,4.64993705899
2018,BOGOTA,BOGOTA,11,11001,33853,7412566,-74.106715324,4.64993705899
2017,BOGOTA,BOGOTA,11,11001,32514,7337449,-74.106715324,4.64993705899
2021,BOGOTA,BOGOTA,11,11001,31976,7834167,-74.106715324,4.64993705899
2016,BOGOTA,BOGOTA,11,11001,25252,7300918,-74.106715324,4.64993705899
2022,BOGOTA,BOGOTA,11,11001,11359,7901653,-74.106715324,4.64993705899
2019,MEDELLIN,ANTIOQUIA,5,5001,10111,2483545,-75.5760017134,6.24858636743
2020,MEDELLIN,ANTIOQUIA,5,5001,9462,2533424,-75.5760017134,6.24858636743
2021,MEDELLIN,ANTIOQUIA,5,5001,9333,2573220,-75.5760017134,6.24858636743
2018,MEDELLIN,ANTIOQUIA,5,5001,8265,2427129,-75.5760017134,6.24858636743
2016,MEDELLIN,ANTIOQUIA,5,5001,7890,2351077,-75.5760017134,6.24858636743
2017,MEDELLIN,ANTIOQUIA,5,5001,6103,2385018,-75.5760017134,6.24858636743
2022,MEDELLIN,ANTIOQUIA,5,5001,2803,2612958,-75.5760017134,6.24858636743
2021,SOACHA,CUNDINAMARCA,25,25754,2778,783632,-74.2154309452,4.57939176705
2020,SOACHA,CUNDINAMARCA,25,25754,2603,753548,-74.2154309452,4.57939176705
2019,SOACHA,CUNDINAMARCA,25,25754,2285,709276,-74.2154309452,4.57939176705
2017,SOACHA,CUNDINAMARCA,25,25754,1522,618820,-74.2154309452,4.57939176705
2018,SOACHA,CUNDINAMARCA,25,25754,1431,660179,-74.2154309452,4.57939176705
2016,SOACHA,CUNDINAMARCA,25,25754,1132,583007,-74.2154309452,4.57939176705
2022,SOACHA,CUNDINAMARCA,25,25754,1094,808288,-74.2154309452,4.57939176705
2019,VILLAVICENCIO,META,50,50001,2142,538824,-73.624562528,4.1238593011
2021,VILLAVICENCIO,META,50,50001,2087,549922,-73.624562528,4.1238593011
2020,VILLAVICENCIO,META,50,50001,2029,545302,-73.624562528,4.1238593011
2017,VILLAVICENCIO,META,50,50001,1967,521700,-73.624562528,4.1238593011
2016,VILLAVICENCIO,META,50,50001,1786,512462,-73.624562528,4.1238593011
2018,VILLAVICENCIO,META,50,50001,1553,531275,-73.624562528,4.1238593011
2022,VILLAVICENCIO,META,50,50001,814,554173,-73.624562528,4.1238593011
2016,BUCARAMANGA,SANTANDER,68,68001,2078,562123,-73.1325976221,7.11626842734
2021,BUCARAMANGA,SANTANDER,68,68001,1894,614269,-73.1325976221,7.11626842734
2020,BUCARAMANGA,SANTANDER,68,68001,1886,607428,-73.1325976221,7.11626842734
2017,BUCARAMANGA,SANTANDER,68,68001,1814,570253,-73.1325976221,7.11626842734
2018,BUCARAMANGA,SANTANDER,68,68001,1747,581130,-73.1325976221,7.11626842734
2019,BUCARAMANGA,SANTANDER,68,68001,1592,595635,-73.1325976221,7.11626842734
2022,BUCARAMANGA,SANTANDER,68,68001,447,618967,-73.1325976221,7.11626842734
2021,BARRANQUILLA,ATLANTICO,8,8001,1958,1297082,-74.8132169683,10.9783195607
2019,BARRANQUILLA,ATLANTICO,8,8001,1937,1243056,-74.8132169683,10.9783195607
2020,BARRANQUILLA,ATLANTICO,8,8001,1610,1274250,-74.8132169683,10.9783195607
2016,BARRANQUILLA,ATLANTICO,8,8001,1585,1167555,-74.8132169683,10.9783195607
2018,BARRANQUILLA,ATLANTICO,8,8001,1476,1206319,-74.8132169683,10.9783195607
2017,BARRANQUILLA,ATLANTICO,8,8001,1424,1180860,-74.8132169683,10.9783195607
2022,BARRANQUILLA,ATLANTICO,8,8001,798,1312473,-74.8132169683,10.9783195607
2019,IBAGUE,TOLIMA,73,73001,1832,536087,-75.1953679078,4.43280938914
2016,IBAGUE,TOLIMA,73,73001,1777,520856,-75.1953679078,4.43280938914
2021,IBAGUE,TOLIMA,73,73001,1579,542724,-75.1953679078,4.43280938914
2020,IBAGUE,TOLIMA,73,73001,1486,541101,-75.1953679078,4.43280938914
2018,IBAGUE,TOLIMA,73,73001,1298,529635,-75.1953679078,4.43280938914
2017,IBAGUE,TOLIMA,73,73001,1156,525076,-75.1953679078,4.43280938914
2022,IBAGUE,TOLIMA,73,73001,540,543949,-75.1953679078,4.43280938914
2016,POPAYAN,CAUCA,19,19001,1816,310409,-76.5988923721,2.45994897276
2019,POPAYAN,CAUCA,19,19001,1737,321991,-76.5988923721,2.45994897276
2017,POPAYAN,CAUCA,19,19001,1663,314054,-76.5988923721,2.45994897276
2018,POPAYAN,CAUCA,19,19001,1594,318059,-76.5988923721,2.45994897276
2021,POPAYAN,CAUCA,19,19001,1294,328139,-76.5988923721,2.45994897276
2020,POPAYAN,CAUCA,19,19001,1290,325477,-76.5988923721,2.45994897276
2022,POPAYAN,CAUCA,19,19001,500,330750,-76.5988923721,2.45994897276
2017,NEIVA,HUILA,41,41001,1568,352999,-75.2777314808,2.93555887476
2021,NEIVA,HUILA,41,41001,1340,367400,-75.2777314808,2.93555887476
2020,NEIVA,HUILA,41,41001,1332,364408,-75.2777314808,2.93555887476
2016,NEIVA,HUILA,41,41001,1234,349048,-75.2777314808,2.93555887476
2019,NEIVA,HUILA,41,41001,1122,361049,-75.2777314808,2.93555887476
2018,NEIVA,HUILA,41,41001,880,357392,-75.2777314808,2.93555887476
2022,NEIVA,HUILA,41,41001,342,370318,-75.2777314808,2.93555887476
2019,BELLO,ANTIOQUIA,5,5088,1511,538527,-75.5546673053,6.33406558292
2021,BELLO,ANTIOQUIA,5,5088,1192,560831,-75.5546673053,6.33406558292
2018,BELLO,ANTIOQUIA,5,5088,1073,522264,-75.5546673053,6.33406558292
2020,BELLO,ANTIOQUIA,5,5088,1063,552154,-75.5546673053,6.33406558292
2017,BELLO,ANTIOQUIA,5,5088,821,510031,-75.5546673053,6.33406558292
2016,BELLO,ANTIOQUIA,5,5088,779,499621,-75.5546673053,6.33406558292
2022,BELLO,ANTIOQUIA,5,5088,435,569488,-75.5546673053,6.33406558292
2016,BARRANCABERMEJA,SANTANDER,68,68081,1507,198513,-73.8499567312,7.06496573153
2019,BARRANCABERMEJA,SANTANDER,68,68081,1111,207494,-73.8499567312,7.06496573153
2017,BARRANCABERMEJA,SANTANDER,68,68081,999,200583,-73.8499567312,7.06496573153
2018,BARRANCABERMEJA,SANTANDER,68,68081,853,203537,-73.8499567312,7.06496573153
2021,BARRANCABERMEJA,SANTANDER,68,68081,809,213061,-73.8499567312,7.06496573153
2020,BARRANCABERMEJA,SANTANDER,68,68081,757,210729,-73.8499567312,7.06496573153
2022,BARRANCABERMEJA,SANTANDER,68,68081,253,214689,-73.8499567312,7.06496573153
2020,TUNJA,BOYACA,15,15001,1459,179263,-73.3554896602,5.5399515492
2021,TUNJA,BOYACA,15,15001,1447,180568,-73.3554896602,5.5399515492
2016,TUNJA,BOYACA,15,15001,1434,167207,-73.3554896602,5.5399515492
2019,TUNJA,BOYACA,15,15001,1387,176347,-73.3554896602,5.5399515492
2017,TUNJA,BOYACA,15,15001,1305,169883,-73.3554896602,5.5399515492
2018,TUNJA,BOYACA,15,15001,1127,172548,-73.3554896602,5.5399515492
2022,TUNJA,BOYACA,15,15001,349,181710,-73.3554896602,5.5399515492
2021,PEREIRA,RISARALDA,66,66001,1372,480803,-75.7190152322,4.80532287092
2016,PEREIRA,RISARALDA,66,66001,1246,459033,-75.7190152322,4.80532287092
2019,PEREIRA,RISARALDA,66,66001,1098,472406,-75.7190152322,4.80532287092
2017,PEREIRA,RISARALDA,66,66001,1086,462668,-75.7190152322,4.80532287092
2020,PEREIRA,RISARALDA,66,66001,930,477027,-75.7190152322,4.80532287092
2018,PEREIRA,RISARALDA,66,66001,786,467269,-75.7190152322,4.80532287092
2022,PEREIRA,RISARALDA,66,66001,490,485373,-75.7190152322,4.80532287092
2021,SANTA MARTA,MAGDALENA,47,47001,1270,546979,-74.2002109893,11.2047725963
2017,SANTA MARTA,MAGDALENA,47,47001,1229,486246,-74.2002109893,11.2047725963
2019,SANTA MARTA,MAGDALENA,47,47001,1162,521239,-74.2002109893,11.2047725963
2020,SANTA MARTA,MAGDALENA,47,47001,1071,538612,-74.2002109893,11.2047725963
2018,SANTA MARTA,MAGDALENA,47,47001,948,499192,-74.2002109893,11.2047725963
2016,SANTA MARTA,MAGDALENA,47,47001,938,477190,-74.2002109893,11.2047725963
2022,SANTA MARTA,MAGDALENA,47,47001,519,552391,-74.2002109893,11.2047725963
2019,MONTERIA,CORDOBA,23,23001,1231,498858,-75.8732573059,8.75981523965
2021,MONTERIA,CORDOBA,23,23001,1012,509558,-75.8732573059,8.75981523965
2020,MONTERIA,CORDOBA,23,23001,837,505334,-75.8732573059,8.75981523965
2018,MONTERIA,CORDOBA,23,23001,793,490935,-75.8732573059,8.75981523965
2016,MONTERIA,CORDOBA,23,23001,786,478806,-75.8732573059,8.75981523965
2017,MONTERIA,CORDOBA,23,23001,635,484400,-75.8732573059,8.75981523965
2022,MONTERIA,CORDOBA,23,23001,346,512994,-75.8732573059,8.75981523965
2016,SOLEDAD,ATLANTICO,8,8758,1117,568201,-74.7848339582,10.9101742784
2021,SOLEDAD,ATLANTICO,8,8758,793,677070,-74.7848339582,10.9101742784
2019,SOLEDAD,ATLANTICO,8,8758,792,638065,-74.7848339582,10.9101742784
2017,SOLEDAD,ATLANTICO,8,8758,756,583036,-74.7848339582,10.9101742784
2020,SOLEDAD,ATLANTICO,8,8758,679,665021,-74.7848339582,10.9101742784
2018,SOLEDAD,ATLANTICO,8,8758,616,603999,-74.7848339582,10.9101742784
2022,SOLEDAD,ATLANTICO,8,8758,256,685106,-74.7848339582,10.9101742784
2019,ITAGUI,ANTIOQUIA,5,5360,1079,283794,-75.6120815283,6.174929734
2021,ITAGUI,ANTIOQUIA,5,5360,1020,294551,-75.6120815283,6.174929734
2020,ITAGUI,ANTIOQUIA,5,5360,808,289994,-75.6120815283,6.174929734
2018,ITAGUI,ANTIOQUIA,5,5360,636,276744,-75.6120815283,6.174929734
2017,ITAGUI,ANTIOQUIA,5,5360,488,271038,-75.6120815283,6.174929734
2016,ITAGUI,ANTIOQUIA,5,5360,406,266257,-75.6120815283,6.174929734
