COD_MUNICIPIO,MPNOM,LATITUD,LONGITUD,DP
5001,Medellín,6.24858636743,-75.5760017134,5
5002,Abejorral,5.78930111433,-75.4287403904,5
5004,Abriaquí,6.63228195504,-76.0642948678,5
5021,Alejandría,6.37606264274,-75.141334501,5
5030,Amagá,6.03880842381,-75.7019483389,5
5031,Amalfi,6.90967360478,-75.0774749239,5
5034,Andes,5.65676971311,-75.878794075,5
5036,Angelópolis,6.10961277767,-75.7113533837,5
5038,Angostura,6.88518441484,-75.3351091186,5
5040,Anorí,7.07471004137,-75.1483449609,5
5042,Santafé de Antioquia,6.55653286033,-75.8270783216,5
5044,Anzá,6.3026667644,-75.854448759,5
5045,Apartadó,7.88325108195,-76.6258909217,5
5051,Arboletes,8.84991827334,-76.4266581639,5
5055,Argelia,5.73147922832,-75.1410633595,5
5059,Armenia,6.15567240561,-75.7866245369,5
5079,Barbosa,6.4392260115,-75.3316403017,5
5086,Belmira,6.60615865921,-75.6673737242,5
5088,Bello,6.33406558292,-75.5546673053,5
5091,Betania,5.74619656152,-75.9767139414,5
5093,Betulia,6.11525553285,-75.9845155699,5
5101,Ciudad Bolívar,5.85027282845,-76.0215106815,5
5107,Briceño,7.11280551402,-75.550356304,5
5113,Buriticá,6.72064775464,-75.9070561536,5
5120,Cáceres,7.57831474335,-75.3523573153,5
5125,Caicedo,6.40556397358,-75.9828123649,5
5129,Caldas,6.09129760323,-75.6336168248,5
5134,Campamento,6.97977648289,-75.298084784,5
5138,Cañasgordas,6.7538443832,-76.0282237214,5
5142,Caracolí,6.40985175825,-74.7574542879,5
5145,Caramanta,5.54853427166,-75.6438712654,5
5147,Carepa,7.75511548219,-76.653210744,5
5148,El Carmen de Viboral,6.08347326731,-75.3342620232,5
5150,Carolina,,,5
5154,Caucasia,7.97734097812,-75.1982784645,5
5172,Chigorodó,7.66630069082,-76.6812146131,5
5190,Cisneros,6.53776304826,-75.0872051341,5
5197,Cocorná,6.05830616761,-75.1854817244,5
5206,Concepción,6.39435397644,-75.257601243,5
5209,Concordia,6.04608659615,-75.9084535194,5
5212,Copacabana,6.34863947056,-75.5093435119,5
5234,Dabeiba,6.99811575168,-76.2616178227,5
5237,Donmatías,6.48560723899,-75.3926751288,5
5240,Ebéjico,6.32605663471,-75.7662136607,5
5250,El Bagre,7.5975218855,-74.7990970119,5
5264,Entrerríos,6.56648234736,-75.517805693,5
5266,Envigado,6.16700589298,-75.5830089369,5
5282,Fredonia,5.9280855467,-75.6750932516,5
5284,Frontino,6.77606285319,-76.1307652118,5
5306,Giraldo,6.68080793863,-75.9521573015,5
5308,Girardota,6.37961535607,-75.4444597681,5
5310,Gómez Plata,6.68327964232,-75.2200360918,5
5313,Granada,6.1429023597,-75.1844500639,5
5315,Guadalupe,6.81506996357,-75.2398564806,5
5318,Guarne,6.27802696108,-75.4416535712,5
5321,Guatapé,6.23240969843,-75.1600208818,5
5347,Heliconia,6.20676229056,-75.7343322889,5
5353,Hispania,5.79946280832,-75.906590966,5
5360,Itagüí,6.174929734,-75.6120815283,5
5361,Ituango,7.17163748398,-75.7646752276,5
5364,Jardín,5.59753984677,-75.8189807815,5
5368,Jericó,5.78974203756,-75.7855038531,5
5376,La Ceja,6.02805465836,-75.4294329272,5
5380,La Estrella,6.15841993,-75.645190382,5
5390,La Pintada,5.74380769651,-75.6078057481,5
5400,La Unión,5.97387113417,-75.3608622911,5
5411,Liborina,6.67732537607,-75.8128326075,5
5425,Maceo,6.55211468066,-74.7871571162,5
5440,Marinilla,6.17404951538,-75.3394598367,5
5467,Montebello,5.94632388294,-75.5235098947,5
5475,Murindó,6.97768956086,-76.8174595267,5
5480,Mutatá,7.24287193339,-76.4358758959,5
5483,Nariño,5.61077722195,-75.1762617711,5
5490,Necoclí,8.426136098,-76.784574497,5
5495,Nechí,8.09412977783,-74.7764699611,5
5501,Olaya,6.62660499706,-75.8118744168,5
5541,Peñol,6.21945021233,-75.2428178132,5
5543,Peque,7.02103925848,-75.9103556989,5
5576,Pueblorrico,5.79168858961,-75.8397134748,5
5579,Puerto Berrío,6.48703921007,-74.4099459786,5
5585,Puerto Nare,6.18602382303,-74.5830116056,5
5591,Puerto Triunfo,5.87120719689,-74.6412656382,5
5604,Remedios,7.02939076621,-74.6980471636,5
5607,Retiro,6.06338107129,-75.5013756659,5
5615,Rionegro,6.1472245313,-75.3767667557,5
5628,Sabanalarga,6.85002081371,-75.8166459364,5
5631,Sabaneta,6.15096981767,-75.6155845416,5
5642,Salgar,5.965640311,-75.982048544,5
5647,San Andrés de Cuerquía,6.91680279924,-75.6747339859,5
5649,San Carlos,6.18798980145,-74.9879605158,5
5652,San Francisco,5.96362010537,-75.1015695493,5
5656,San Jerónimo,6.44806585636,-75.7270000843,5
5658,San José de La Montaña,6.85008880044,-75.6833564182,5
5659,San Juan de Urabá,8.75934428139,-76.5288010416,5
5660,San Luis,6.04298332565,-74.9936401255,5
5664,San Pedro de Los Milagros,6.46013808244,-75.5567189241,5
5665,San Pedro de Urabá,8.27688468914,-76.3805785791,5
5667,San Rafael,6.29375698332,-75.0279828807,5
5670,San Roque,6.48594047044,-75.0191661484,5
5674,San Vicente,,,5
5679,Santa Bárbara,5.87554181135,-75.5673548634,5
5686,Santa Rosa de Osos,6.64332643406,-75.460740037,5
5690,Santo Domingo,6.47283350377,-75.1649580592,5
5697,El Santuario,6.13685720436,-75.2654679804,5
5736,Segovia,7.07963898594,-74.701588722,5
5756,Sonsón,5.7148075835,-75.3093960124,5
5761,Sopetrán,6.50099259435,-75.7472528656,5
5789,Támesis,5.66446916892,-75.7143199749,5
5790,Tarazá,7.58011943984,-75.4014092118,5
5792,Tarso,5.86455255901,-75.8229504893,5
5809,Titiribí,6.06239757787,-75.791888749,5
5819,Toledo,7.01015899618,-75.6914357609,5
5837,Turbo,8.08911317497,-76.7291596582,5
5842,Uramita,6.89849767647,-76.1734055678,5
5847,Urrao,6.31731976564,-76.1339511488,5
5854,Valdivia,7.1653440936,-75.4391982543,5
5856,Valparaíso,5.6145548154,-75.6244635468,5
5858,Vegachí,6.77345020849,-74.7987268739,5
5861,Venecia,5.96473060641,-75.7355000679,5
5873,Vigía del Fuerte,6.58812341865,-76.8961862476,5
5885,Yalí,6.67657240531,-74.8400531922,5
5887,Yarumal,6.96387109143,-75.4188327746,5
5890,Yolombó,6.59459588827,-75.0133479509,5
5893,Yondó,,,5
5895,Zaragoza,7.48858244262,-74.8670728872,5
8001,Barranquilla,10.9783195607,-74.8132169683,8
8078,Baranoa,10.7948815688,-74.916106093,8
8137,Campo de La Cruz,10.3782957218,-74.8808535392,8
8141,Candelaria,10.4612089848,-74.8799120495,8
8296,Galapa,10.9191614915,-74.8703439389,8
8372,Juan de Acosta,10.8323387608,-75.0406070886,8
8421,Luruaco,10.6111248118,-75.1422887632,8
8433,Malambo,10.856822692,-74.7748637454,8
8436,Manatí,10.4489620358,-74.9570353895,8
8520,Palmar de Varela,10.7385825597,-74.7547589307,8
8549,Piojó,10.7493431731,-75.1074681737,8
8558,Polonuevo,10.7771663073,-74.8531024212,8
8560,Ponedera,10.6417959018,-74.7539006043,8
8573,Puerto Colombia,11.022939949,-74.851963055,8
8606,Repelón,10.4933403213,-75.1254822303,8
8634,Sabanagrande,10.7910757719,-74.7585063109,8
8638,Sabanalarga,10.6328326108,-74.9210950072,8
8675,Santa Lucía,10.3243082813,-74.9592075848,8
8685,Santo Tomás,10.7587230349,-74.7577207286,8
8758,Soledad,10.9101742784,-74.7848339582,8
8770,Suan,10.3354309226,-74.8816874004,8
8832,Tubará,10.8736512946,-74.9786801062,8
8849,Usiacurí,10.742979811,-74.9769840969,8
11001,"Bogotá, D.C.",4.64993705899,-74.106715324,11
13001,Cartagena de Indias,10.3849883546,-75.4964264795,13
13006,Achí,8.56945622216,-74.5575205453,13
13030,Altos del Rosario,8.79160326038,-74.1650526808,13
13042,Arenal,8.45862922844,-73.9411210687,13
13052,Arjona,10.256630539,-75.3444876588,13
13062,Arroyohondo,10.250075878,-75.019214913,13
13074,Barranco de Loba,8.94773040932,-74.105224848,13
13140,Calamar,10.2503611819,-74.9161222621,13
13160,Cantagallo,7.37831394834,-73.9146507991,13
13188,Cicuco,9.27456085808,-74.645585537,13
13212,Córdoba,9.58690944657,-74.8274640871,13
13222,Clemencia,10.5675414931,-75.3285123927,13
13244,El Carmen de Bolívar,9.71861199322,-75.1212066427,13
13248,El Guamo,10.0309150057,-74.9761147368,13
13268,El Peñón,8.98822535038,-73.9494279539,13
13300,Hatillo de Loba,8.95561446403,-74.0783633089,13
13430,Magangué,9.26381346247,-74.7667304396,13
13433,Mahates,10.2332538997,-75.1913392756,13
13440,Margarita,9.155517395,-74.280926824,13
13442,María La Baja,9.98264680271,-75.3007611748,13
13458,Montecristo,8.29724472765,-74.4714158637,13
13468,Mompós,,,13
13473,Morales,8.27630560493,-73.8681407138,13
13490,Norosí,8.52597866614,-74.0380603025,13
13549,Pinillos,8.91545237529,-74.4624038627,13
13580,Regidor,8.66625814425,-73.8216376256,13
13600,Río Viejo,8.587628771,-73.8399447912,13
13620,San Cristóbal,10.3928556679,-75.065534552,13
13647,San Estanislao,,,13
13650,San Fernando,9.21417846743,-74.3238659855,13
13654,San Jacinto,9.8302177331,-75.1210906283,13
13655,San Jacinto del Cauca,8.25173769531,-74.7208279737,13
13657,San Juan Nepomuceno,9.95345322129,-75.081354128,13
13667,San Martín de Loba,8.93709261013,-74.0390124624,13
13670,San Pablo,7.47671911473,-73.9241717171,13
13673,Santa Catalina,10.6050569813,-75.2877605206,13
13683,Santa Rosa,,,13
13688,Santa Rosa del Sur,7.96287055719,-74.0518401571,13
13744,Simití,7.95442830168,-73.9467782481,13
13760,Soplaviento,10.3884564354,-75.1364262581,13
13780,Talaigua Nuevo,9.30401724098,-74.5674682776,13
13810,Tiquisio,,,13
13836,Turbaco,10.332772802,-75.424409165,13
13838,Turbaná,10.2744001934,-75.4425018865,13
13873,Villanueva,10.4443304246,-75.2751686679,13
13894,Zambrano,9.74628103898,-74.8180006807,13
15001,Tunja,5.5399515492,-73.3554896602,15
15022,Almeida,4.97085237348,-73.378935594,15
15047,Aquitania,,,15
15051,Arcabuco,5.75546754184,-73.4375431565,15
15087,Belén,5.98928041246,-72.9116162763,15
15090,Berbeo,5.22728677682,-73.1270304656,15
15092,Betéitiva,5.90990555091,-72.809032309,15
15097,Boavita,6.33065368603,-72.5849675798,15
15104,Boyacá,5.45423551545,-73.3623009748,15
15106,Briceño,5.6908769735,-73.9232607965,15
15109,Buenavista,5.51242923727,-73.9423004687,15
15114,Busbanzá,5.83139321087,-72.8841622923,15
15131,Caldas,5.55457589379,-73.865542982,15
15135,Campohermoso,5.03166002315,-73.104168327,15
15162,Cerinza,5.95603263546,-72.9482718544,15
15172,Chinavita,5.16748347348,-73.3684756833,15
15176,Chiquinquirá,5.61412836353,-73.8183869915,15
15180,Chiscas,6.5534158413,-72.5016808693,15
15183,Chita,6.18708569854,-72.471892654,15
15185,Chitaraque,6.02742601824,-73.4471010235,15
15187,Chivatá,5.55894934359,-73.2825292916,15
15189,Ciénega,5.40870037319,-73.296061354,15
15204,Cómbita,5.63454905762,-73.3239523652,15
15212,Coper,5.47498409448,-74.0454584503,15
15215,Corrales,5.82810438505,-72.8447949701,15
15218,Covarachía,6.50018289986,-72.7389763109,15
15223,Cubará,6.99726745104,-72.1079447106,15
15224,Cucaita,5.54445121651,-73.4543383107,15
15226,Cuítiva,5.58036631554,-72.9659185304,15
15232,Chíquiza,0.0,0.0,15
15236,Chivor,4.88778166,-73.366893755,15
15238,Duitama,5.82298464605,-73.030610836,15
15244,El Cocuy,6.40771564853,-72.4447300399,15
15248,El Espino,6.48303062085,-72.4970129087,15
15272,Firavitoba,5.66892506903,-72.9933618342,15
15276,Floresta,5.85952057405,-72.9181118071,15
15293,Gachantivá,5.75188848507,-73.5490931245,15
15296,Gámeza,5.80233579091,-72.8055270159,15
15299,Garagoa,5.08324283869,-73.3644267841,15
15317,Guacamayas,6.45966545849,-72.5008156901,15
15322,Guateque,5.0073212036,-73.4712060695,15
15325,Guayatá,4.9671242815,-73.4896957862,15
15332,Güicán de La Sierra,6.46285998881,-72.411765819,15
15362,Iza,5.61157775921,-72.9795593407,15
15367,Jenesano,5.3857721813,-73.3638083915,15
15368,Jericó,6.14575069674,-72.5711238428,15
15377,Labranzagrande,5.56268780724,-72.5777694431,15
15380,La Capilla,5.09568803762,-73.4443470863,15
15401,La Victoria,5.5237945994,-74.2343971323,15
15403,La Uvita,6.3162062521,-72.5599870419,15
15407,Villa de Leyva,5.63265703354,-73.5246858959,15
15425,Macanal,4.97246523201,-73.3196492275,15
15442,Maripí,5.55008773144,-74.0040590487,15
15455,Miraflores,5.19651615513,-73.1456279863,15
15464,Mongua,5.75423927382,-72.7981001021,15
15466,Monguí,5.72340786063,-72.8492622931,15
15469,Moniquirá,5.87633305531,-73.5733706158,15
15476,Motavita,5.57770072028,-73.3678389344,15
15480,Muzo,5.53245722089,-74.1027542999,15
15491,Nobsa,5.771042607,-72.939853172,15
15494,Nuevo Colón,5.35514851706,-73.4571348371,15
15500,Oicatá,5.59523375635,-73.308404103,15
15507,Otanche,5.65753554395,-74.1809678964,15
15511,Pachavita,5.14006205365,-73.3969550834,15
15514,Páez,5.09789282185,-73.0525553002,15
15516,Paipa,5.77994168888,-73.1179179167,15
15518,Pajarito,5.29364101567,-72.7032202088,15
15522,Panqueba,6.44307619932,-72.4592015449,15
15531,Pauna,5.65632422107,-73.97844971,15
15533,Paya,5.6257001331,-72.4237755806,15
15537,Paz de Río,5.98764091396,-72.7491433309,15
15542,Pesca,5.55881131008,-73.0508685115,15
15550,Pisba,5.7216213544,-72.4859425146,15
15572,Puerto Boyacá,5.97664715502,-74.5877827354,15
15580,Quípama,5.52055370831,-74.1800347561,15
15599,Ramiriquí,5.4002211245,-73.3348676913,15
15600,Ráquira,5.53906792025,-73.6325018712,15
15621,Rondón,5.35740204136,-73.2084727551,15
15632,Saboyá,5.69773271604,-73.7646637544,15
