CODE_DPTO,CODE_MUNICIPIO,DPTO,MUNICIPIO,LONGITUD,LATITUD
5,5001,ANTIOQUIA,MEDELLIN,-75.5760017134,6.24858636743
5,5002,ANTIOQUIA,ABEJORRAL,-75.4287403904,5.78930111433
5,5004,ANTIOQUIA,ABRIAQUI,-76.0642948678,6.63228195504
5,5021,ANTIOQUIA,ALEJANDRIA,-75.141334501,6.37606264274
5,5030,ANTIOQUIA,AMAGA,-75.7019483389,6.03880842381
5,5031,ANTIOQUIA,AMALFI,-75.0774749239,6.90967360478
5,5034,ANTIOQUIA,ANDES,-75.878794075,5.65676971311
5,5036,ANTIOQUIA,ANGELOPOLIS,-75.7113533837,6.10961277767
5,5038,ANTIOQUIA,ANGOSTURA,-75.3351091186,6.88518441484
5,5040,ANTIOQUIA,ANORI,-75.1483449609,7.07471004137
5,5042,ANTIOQUIA,SANTA FE DE ANTIOQUIA,-75.8270783216,6.55653286033
5,5044,ANTIOQUIA,ANZA,-75.854448759,6.3026667644
5,5045,ANTIOQUIA,APARTADO,-76.6258909217,7.88325108195
5,5051,ANTIOQUIA,ARBOLETES,-76.4266581639,8.84991827334
5,5055,ANTIOQUIA,ARGELIA,-75.1410633595,5.73147922832
5,5059,ANTIOQUIA,ARMENIA,-75.7866245369,6.15567240561
5,5079,ANTIOQUIA,BARBOSA,-75.3316403017,6.4392260115
5,5086,ANTIOQUIA,BELMIRA,-75.6673737242,6.60615865921
5,5088,ANTIOQUIA,BELLO,-75.5546673053,6.33406558292
5,5091,ANTIOQUIA,BETANIA,-75.9767139414,5.74619656152
5,5093,ANTIOQUIA,BETULIA,-75.9845155699,6.11525553285
5,5101,ANTIOQUIA,CIUDAD BOLIVAR,-76.0215106815,5.85027282845
5,5107,ANTIOQUIA,BRICENO,-75.550356304,7.11280551402
5,5113,ANTIOQUIA,BURITICA,-75.9070561536,6.72064775464
5,5120,ANTIOQUIA,CACERES,-75.3523573153,7.57831474335
5,5125,ANTIOQUIA,CAICEDO,-75.9828123649,6.40556397358
5,5129,ANTIOQUIA,CALDAS,-75.6336168248,6.09129760323
5,5134,ANTIOQUIA,CAMPAMENTO,-75.298084784,6.97977648289
5,5138,ANTIOQUIA,CANASGORDAS,-76.0282237214,6.7538443832
5,5142,ANTIOQUIA,CARACOLI,-74.7574542879,6.40985175825
5,5145,ANTIOQUIA,CARAMANTA,-75.6438712654,5.54853427166
5,5147,ANTIOQUIA,CAREPA,-76.653210744,7.75511548219
5,5148,ANTIOQUIA,EL CARMEN DE VIBORAL,-75.3342620232,6.08347326731
5,5154,ANTIOQUIA,CAUCASIA,-75.1982784645,7.97734097812
5,5172,ANTIOQUIA,CHIGORODO,-76.6812146131,7.66630069082
5,5190,ANTIOQUIA,CISNEROS,-75.0872051341,6.53776304826
5,5197,ANTIOQUIA,COCORNA,-75.1854817244,6.05830616761
5,5206,ANTIOQUIA,CONCEPCION,-75.257601243,6.39435397644
5,5209,ANTIOQUIA,CONCORDIA,-75.9084535194,6.04608659615
5,5212,ANTIOQUIA,COPACABANA,-75.5093435119,6.34863947056
5,5234,ANTIOQUIA,DABEIBA,-76.2616178227,6.99811575168
5,5237,ANTIOQUIA,DONMATIAS,-75.3926751288,6.48560723899
5,5240,ANTIOQUIA,EBEJICO,-75.7662136607,6.32605663471
5,5250,ANTIOQUIA,EL BAGRE,-74.7990970119,7.5975218855
5,5264,ANTIOQUIA,ENTRERRIOS,-75.517805693,6.56648234736
5,5266,ANTIOQUIA,ENVIGADO,-75.5830089369,6.16700589298
5,5282,ANTIOQUIA,FREDONIA,-75.6750932516,5.9280855467
5,5284,ANTIOQUIA,FRONTINO,-76.1307652118,6.77606285319
5,5306,ANTIOQUIA,GIRALDO,-75.9521573015,6.68080793863
5,5308,ANTIOQUIA,GIRARDOTA,-75.4444597681,6.37961535607
5,5310,ANTIOQUIA,GOMEZ PLATA,-75.2200360918,6.68327964232
5,5313,ANTIOQUIA,GRANADA,-75.1844500639,6.1429023597
5,5315,ANTIOQUIA,GUADALUPE,-75.2398564806,6.81506996357
5,5318,ANTIOQUIA,GUARNE,-75.4416535712,6.27802696108
5,5321,ANTIOQUIA,GUATAPE,-75.1600208818,6.23240969843
5,5347,ANTIOQUIA,HELICONIA,-75.7343322889,6.20676229056
5,5353,ANTIOQUIA,HISPANIA,-75.906590966,5.79946280832
5,5360,ANTIOQUIA,ITAGUI,-75.6120815283,6.174929734
5,5361,ANTIOQUIA,ITUANGO,-75.7646752276,7.17163748398
5,5364,ANTIOQUIA,JARDIN,-75.8189807815,5.59753984677
5,5368,ANTIOQUIA,JERICO,-75.7855038531,5.78974203756
5,5376,ANTIOQUIA,LA CEJA,-75.4294329272,6.02805465836
5,5380,ANTIOQUIA,LA ESTRELLA,-75.645190382,6.15841993
5,5390,ANTIOQUIA,LA PINTADA,-75.6078057481,5.74380769651
5,5400,ANTIOQUIA,LA UNION,-75.3608622911,5.97387113417
5,5411,ANTIOQUIA,LIBORINA,-75.8128326075,6.67732537607
5,5425,ANTIOQUIA,MACEO,-74.7871571162,6.55211468066
5,5440,ANTIOQUIA,MARINILLA,-75.3394598367,6.17404951538
5,5467,ANTIOQUIA,MONTEBELLO,-75.5235098947,5.94632388294
5,5475,ANTIOQUIA,MURINDO,-76.8174595267,6.97768956086
