DP;DPNOM;COD_MUNICIPIO;MPNOM;AÑO;ÁREA GEOGRÁFICA;Total
5;Antioquia;5001;Medellín;2016;Total;2351077
5;Antioquia;5002;Abejorral;2016;Total;20534
5;Antioquia;5004;Abriaquí;2016;Total;2629
5;Antioquia;5021;Alejandría;2016;Total;4620
5;Antioquia;5030;Amagá;2016;Total;29394
5;Antioquia;5031;Amalfi;2016;Total;25194
5;Antioquia;5034;Andes;2016;Total;42683
5;Antioquia;5036;Angelópolis;2016;Total;5781
5;Antioquia;5038;Angostura;2016;Total;11486
5;Antioquia;5040;Anorí;2016;Total;17723
5;Antioquia;5042;Santafé de Antioquia;2016;Total;25462
5;Antioquia;5044;Anzá;2016;Total;6961
5;Antioquia;5045;Apartadó;2016;Total;115555
5;Antioquia;5051;Arboletes;2016;Total;28981
5;Antioquia;5055;Argelia;2016;Total;7929
5;Antioquia;5059;Armenia;2016;Total;5212
5;Antioquia;5079;Barbosa;2016;Total;50281
5;Antioquia;5086;Belmira;2016;Total;5938
5;Antioquia;5088;Bello;2016;Total;499621
5;Antioquia;5091;Betania;2016;Total;10484
5;Antioquia;5093;Betulia;2016;Total;15445
5;Antioquia;5101;Ciudad Bolívar;2016;Total;25996
5;Antioquia;5107;Briceño;2016;Total;8075
5;Antioquia;5113;Buriticá;2016;Total;9157
5;Antioquia;5120;Cáceres;2016;Total;28134
5;Antioquia;5125;Caicedo;2016;Total;8185
5;Antioquia;5129;Caldas;2016;Total;76766
5;Antioquia;5134;Campamento;2016;Total;9250
5;Antioquia;5138;Cañasgordas;2016;Total;15670
5;Antioquia;5142;Caracolí;2016;Total;4736
5;Antioquia;5145;Caramanta;2016;Total;4952
5;Antioquia;5147;Carepa;2016;Total;45489
5;Antioquia;5148;El Carmen de Viboral;2016;Total;57208
5;Antioquia;5150;Carolina;2016;Total;3900
5;Antioquia;5154;Caucasia;2016;Total;86492
5;Antioquia;5172;Chigorodó;2016;Total;54908
5;Antioquia;5190;Cisneros;2016;Total;9617
5;Antioquia;5197;Cocorná;2016;Total;15873
5;Antioquia;5206;Concepción;2016;Total;4850
5;Antioquia;5209;Concordia;2016;Total;21153
5;Antioquia;5212;Copacabana;2016;Total;74957
5;Antioquia;5234;Dabeiba;2016;Total;22673
5;Antioquia;5237;Donmatías;2016;Total;18332
5;Antioquia;5240;Ebéjico;2016;Total;12227
5;Antioquia;5250;El Bagre;2016;Total;49488
5;Antioquia;5264;Entrerríos;2016;Total;10830
5;Antioquia;5266;Envigado;2016;Total;218805
5;Antioquia;5282;Fredonia;2016;Total;24143
5;Antioquia;5284;Frontino;2016;Total;20813
5;Antioquia;5306;Giraldo;2016;Total;5396
5;Antioquia;5308;Girardota;2016;Total;49613
5;Antioquia;5310;Gómez Plata;2016;Total;9662
5;Antioquia;5313;Granada;2016;Total;10654
5;Antioquia;5315;Guadalupe;2016;Total;6464
5;Antioquia;5318;Guarne;2016;Total;52793
5;Antioquia;5321;Guatapé;2016;Total;8068
5;Antioquia;5347;Heliconia;2016;Total;5562
5;Antioquia;5353;Hispania;2016;Total;5418
5;Antioquia;5360;Itagüí;2016;Total;266257
5;Antioquia;5361;Ituango;2016;Total;26625
5;Antioquia;5364;Jardín;2016;Total;14357
5;Antioquia;5368;Jericó;2016;Total;13697
5;Antioquia;5376;La Ceja;2016;Total;62185
5;Antioquia;5380;La Estrella;2016;Total;68483
5;Antioquia;5390;La Pintada;2016;Total;8343
5;Antioquia;5400;La Unión;2016;Total;20784
5;Antioquia;5411;Liborina;2016;Total;10094
5;Antioquia;5425;Maceo;2016;Total;8277
5;Antioquia;5440;Marinilla;2016;Total;62194
5;Antioquia;5467;Montebello;2016;Total;6786
5;Antioquia;5475;Murindó;2016;Total;4696
5;Antioquia;5480;Mutatá;2016;Total;13625
5;Antioquia;5483;Nariño;2016;Total;10501
5;Antioquia;5490;Necoclí;2016;Total;41016
5;Antioquia;5495;Nechí;2016;Total;24697
5;Antioquia;5501;Olaya;2016;Total;3092
5;Antioquia;5541;Peñol;2016;Total;20351
5;Antioquia;5543;Peque;2016;Total;7991
5;Antioquia;5576;Pueblorrico;2016;Total;8739
5;Antioquia;5579;Puerto Berrío;2016;Total;38302
5;Antioquia;5585;Puerto Nare;2016;Total;14370
5;Antioquia;5591;Puerto Triunfo;2016;Total;17294
5;Antioquia;5604;Remedios;2016;Total;27530
5;Antioquia;5607;Retiro;2016;Total;22486
5;Antioquia;5615;Rionegro;2016;Total;129753
5;Antioquia;5628;Sabanalarga;2016;Total;8881
5;Antioquia;5631;Sabaneta;2016;Total;77966
5;Antioquia;5642;Salgar;2016;Total;18341
5;Antioquia;5647;San Andrés de Cuerquía;2016;Total;7270
5;Antioquia;5649;San Carlos;2016;Total;16739
5;Antioquia;5652;San Francisco;2016;Total;5649
5;Antioquia;5656;San Jerónimo;2016;Total;14912
5;Antioquia;5658;San José de La Montaña;2016;Total;3576
5;Antioquia;5659;San Juan de Urabá;2016;Total;19332
5;Antioquia;5660;San Luis;2016;Total;12993
5;Antioquia;5664;San Pedro de Los Milagros;2016;Total;21226
5;Antioquia;5665;San Pedro de Urabá;2016;Total;30106
5;Antioquia;5667;San Rafael;2016;Total;15721
5;Antioquia;5670;San Roque;2016;Total;21217
5;Antioquia;5674;San Vicente;2016;Total;21860
5;Antioquia;5679;Santa Bárbara;2016;Total;26671
5;Antioquia;5686;Santa Rosa de Osos;2016;Total;35308
5;Antioquia;5690;Santo Domingo;2016;Total;12535
5;Antioquia;5697;El Santuario;2016;Total;34347
5;Antioquia;5736;Segovia;2016;Total;36605
5;Antioquia;5756;Sonsón;2016;Total;36242
5;Antioquia;5761;Sopetrán;2016;Total;14882
5;Antioquia;5789;Támesis;2016;Total;16441
5;Antioquia;5790;Tarazá;2016;Total;25973
5;Antioquia;5792;Tarso;2016;Total;6141
5;Antioquia;5809;Titiribí;2016;Total;10992
5;Antioquia;5819;Toledo;2016;Total;5049
5;Antioquia;5837;Turbo;2016;Total;120238
5;Antioquia;5842;Uramita;2016;Total;6957
5;Antioquia;5847;Urrao;2016;Total;29631
5;Antioquia;5854;Valdivia;2016;Total;13683
5;Antioquia;5856;Valparaíso;2016;Total;6747
5;Antioquia;5858;Vegachí;2016;Total;11757
5;Antioquia;5861;Venecia;2016;Total;11634
5;Antioquia;5873;Vigía del Fuerte;2016;Total;8842
5;Antioquia;5885;Yalí;2016;Total;7618
5;Antioquia;5887;Yarumal;2016;Total;40691
5;Antioquia;5890;Yolombó;2016;Total;22278
5;Antioquia;5893;Yondó;2016;Total;18204
5;Antioquia;5895;Zaragoza;2016;Total;24233
8;Atlántico;8001;Barranquilla;2016;Total;1167555
8;Atlántico;8078;Baranoa;2016;Total;59622
8;Atlántico;8137;Campo de La Cruz;2016;Total;22555
8;Atlántico;8141;Candelaria;2016;Total;15254
8;Atlántico;8296;Galapa;2016;Total;56946
8;Atlántico;8372;Juan de Acosta;2016;Total;19923
8;Atlántico;8421;Luruaco;2016;Total;27047
8;Atlántico;8433;Malambo;2016;Total;121589
8;Atlántico;8436;Manatí;2016;Total;19208
8;Atlántico;8520;Palmar de Varela;2016;Total;27561
8;Atlántico;8549;Piojó;2016;Total;6295
8;Atlántico;8558;Polonuevo;2016;Total;17371
8;Atlántico;8560;Ponedera;2016;Total;22778
8;Atlántico;8573;Puerto Colombia;2016;Total;46638
8;Atlántico;8606;Repelón;2016;Total;25143
8;Atlántico;8634;Sabanagrande;2016;Total;30705
8;Atlántico;8638;Sabanalarga;2016;Total;89188
8;Atlántico;8675;Santa Lucía;2016;Total;15253
8;Atlántico;8685;Santo Tomás;2016;Total;28502
8;Atlántico;8758;Soledad;2016;Total;568201
8;Atlántico;8770;Suan;2016;Total;11557
8;Atlántico;8832;Tubará;2016;Total;16442
8;Atlántico;8849;Usiacurí;2016;Total;11713
11;Bogotá, D.C.;11001;Bogotá, D.C.;2016;Total;7300918
13;Bolívar;13001;Cartagena de Indias;2016;Total;945316
13;Bolívar;13006;Achí;2016;Total;23384
13;Bolívar;13030;Altos del Rosario;2016;Total;10572
13;Bolívar;13042;Arenal;2016;Total;7361
13;Bolívar;13052;Arjona;2016;Total;67351
13;Bolívar;13062;Arroyohondo;2016;Total;8139
13;Bolívar;13074;Barranco de Loba;2016;Total;14519
13;Bolívar;13140;Calamar;2016;Total;21855
13;Bolívar;13160;Cantagallo;2016;Total;7821
13;Bolívar;13188;Cicuco;2016;Total;12740
13;Bolívar;13212;Córdoba;2016;Total;15605
13;Bolívar;13222;Clemencia;2016;Total;14143
13;Bolívar;13244;El Carmen de Bolívar;2016;Total;69403
13;Bolívar;13248;El Guamo;2016;Total;8394
13;Bolívar;13268;El Peñón;2016;Total;8027
13;Bolívar;13300;Hatillo de Loba;2016;Total;12410
13;Bolívar;13430;Magangué;2016;Total;129878
13;Bolívar;13433;Mahates;2016;Total;26804
13;Bolívar;13440;Margarita;2016;Total;10347
13;Bolívar;13442;María La Baja;2016;Total;44730
13;Bolívar;13458;Montecristo;2016;Total;15415
13;Bolívar;13468;Mompós;2016;Total;43341
13;Bolívar;13473;Morales;2016;Total;21179
13;Bolívar;13490;Norosí;2016;Total;8097
13;Bolívar;13549;Pinillos;2016;Total;23613
13;Bolívar;13580;Regidor;2016;Total;6511
13;Bolívar;13600;Río Viejo;2016;Total;10647
13;Bolívar;13620;San Cristóbal;2016;Total;7959
13;Bolívar;13647;San Estanislao;2016;Total;17777
13;Bolívar;13650;San Fernando;2016;Total;12107
13;Bolívar;13654;San Jacinto;2016;Total;23888
13;Bolívar;13655;San Jacinto del Cauca;2016;Total;9379
13;Bolívar;13657;San Juan Nepomuceno;2016;Total;36218
13;Bolívar;13667;San Martín de Loba;2016;Total;16076
13;Bolívar;13670;San Pablo;2016;Total;26436
13;Bolívar;13673;Santa Catalina;2016;Total;14061
13;Bolívar;13683;Santa Rosa;2016;Total;20291
13;Bolívar;13688;Santa Rosa del Sur;2016;Total;31080
13;Bolívar;13744;Simití;2016;Total;17260
13;Bolívar;13760;Soplaviento;2016;Total;10422
13;Bolívar;13780;Talaigua Nuevo;2016;Total;13327
13;Bolívar;13810;Tiquisio;2016;Total;17515
13;Bolívar;13836;Turbaco;2016;Total;100929
13;Bolívar;13838;Turbaná;2016;Total;15883
13;Bolívar;13873;Villanueva;2016;Total;23055
13;Bolívar;13894;Zambrano;2016;Total;11745
15;Boyacá;15001;Tunja;2016;Total;167207
15;Boyacá;15022;Almeida;2016;Total;2333
15;Boyacá;15047;Aquitania;2016;Total;15315
15;Boyacá;15051;Arcabuco;2016;Total;5715
15;Boyacá;15087;Belén;2016;Total;7568
15;Boyacá;15090;Berbeo;2016;Total;1616
15;Boyacá;15092;Betéitiva;2016;Total;1967
15;Boyacá;15097;Boavita;2016;Total;5587
15;Boyacá;15104;Boyacá;2016;Total;5013
15;Boyacá;15106;Briceño;2016;Total;2224
15;Boyacá;15109;Buenavista;2016;Total;4410
15;Boyacá;15114;Busbanzá;2016;Total;1105
15;Boyacá;15131;Caldas;2016;Total;3245
15;Boyacá;15135;Campohermoso;2016;Total;3252
15;Boyacá;15162;Cerinza;2016;Total;3808
15;Boyacá;15172;Chinavita;2016;Total;3202
15;Boyacá;15176;Chiquinquirá;2016;Total;54562
15;Boyacá;15180;Chiscas;2016;Total;4175
15;Boyacá;15183;Chita;2016;Total;8362
15;Boyacá;15185;Chitaraque;2016;Total;5736
15;Boyacá;15187;Chivatá;2016;Total;2793
15;Boyacá;15189;Ciénega;2016;Total;4650
15;Boyacá;15204;Cómbita;2016;Total;12585
15;Boyacá;15212;Coper;2016;Total;3760
15;Boyacá;15215;Corrales;2016;Total;2448
15;Boyacá;15218;Covarachía;2016;Total;2966
15;Boyacá;15223;Cubará;2016;Total;9827
15;Boyacá;15224;Cucaita;2016;Total;3728
15;Boyacá;15226;Cuítiva;2016;Total;1803
15;Boyacá;15232;Chíquiza;2016;Total;4638
15;Boyacá;15236;Chivor;2016;Total;2527
15;Boyacá;15238;Duitama;2016;Total;118852
15;Boyacá;15244;El Cocuy;2016;Total;4374
15;Boyacá;15248;El Espino;2016;Total;3079
15;Boyacá;15272;Firavitoba;2016;Total;6523
15;Boyacá;15276;Floresta;2016;Total;3350
15;Boyacá;15293;Gachantivá;2016;Total;2794
15;Boyacá;15296;Gámeza;2016;Total;4841
15;Boyacá;15299;Garagoa;2016;Total;17504
15;Boyacá;15317;Guacamayas;2016;Total;1899
15;Boyacá;15322;Guateque;2016;Total;10599
15;Boyacá;15325;Guayatá;2016;Total;3639
15;Boyacá;15332;Güicán de La Sierra;2016;Total;4313
15;Boyacá;15362;Iza;2016;Total;1920
15;Boyacá;15367;Jenesano;2016;Total;7013
15;Boyacá;15368;Jericó;2016;Total;4058
15;Boyacá;15377;Labranzagrande;2016;Total;3625
15;Boyacá;15380;La Capilla;2016;Total;2674
15;Boyacá;15401;La Victoria;2016;Total;1178
15;Boyacá;15403;La Uvita;2016;Total;3445
15;Boyacá;15407;Villa de Leyva;2016;Total;15386
15;Boyacá;15425;Macanal;2016;Total;4888
15;Boyacá;15442;Maripí;2016;Total;5805
15;Boyacá;15455;Miraflores;2016;Total;8816
15;Boyacá;15464;Mongua;2016;Total;4678
15;Boyacá;15466;Monguí;2016;Total;4302
15;Boyacá;15469;Moniquirá;2016;Total;22302
15;Boyacá;15476;Motavita;2016;Total;5474
15;Boyacá;15480;Muzo;2016;Total;8766
15;Boyacá;15491;Nobsa;2016;Total;15533
15;Boyacá;15494;Nuevo Colón;2016;Total;5053
15;Boyacá;15500;Oicatá;2016;Total;2819
15;Boyacá;15507;Otanche;2016;Total;7937
15;Boyacá;15511;Pachavita;2016;Total;2535
15;Boyacá;15514;Páez;2016;Total;3386
15;Boyacá;15516;Paipa;2016;Total;32500
15;Boyacá;15518;Pajarito;2016;Total;2395
15;Boyacá;15522;Panqueba;2016;Total;1737
15;Boyacá;15531;Pauna;2016;Total;7278
15;Boyacá;15533;Paya;2016;Total;2574
15;Boyacá;15537;Paz de Río;2016;Total;4501
15;Boyacá;15542;Pesca;2016;Total;7088
15;Boyacá;15550;Pisba;2016;Total;1727
15;Boyacá;15572;Puerto Boyacá;2016;Total;45509
15;Boyacá;15580;Quípama;2016;Total;4931
15;Boyacá;15599;Ramiriquí;2016;Total;9676
15;Boyacá;15600;Ráquira;2016;Total;7684
15;Boyacá;15621;Rondón;2016;Total;2425
15;Boyacá;15632;Saboyá;2016;Total;13345
15;Boyacá;15638;Sáchica;2016;Total;5288
15;Boyacá;15646;Samacá;2016;Total;17800
15;Boyacá;15660;San Eduardo;2016;Total;1798
15;Boyacá;15664;San José de Pare;2016;Total;4973
15;Boyacá;15667;San Luis de Gaceno;2016;Total;5577
15;Boyacá;15673;San Mateo;2016;Total;3668
15;Boyacá;15676;San Miguel de Sema;2016;Total;3035
15;Boyacá;15681;San Pablo de Borbur;2016;Total;6507
15;Boyacá;15686;Santana;2016;Total;7392
15;Boyacá;15690;Santa María;2016;Total;3707
15;Boyacá;15693;Santa Rosa de Viterbo;2016;Total;12747
15;Boyacá;15696;Santa Sofía;2016;Total;3153
15;Boyacá;15720;Sativanorte;2016;Total;2350
15;Boyacá;15723;Sativasur;2016;Total;1083
15;Boyacá;15740;Siachoque;2016;Total;6610
15;Boyacá;15753;Soatá;2016;Total;9481
15;Boyacá;15755;Socotá;2016;Total;7425
15;Boyacá;15757;Socha;2016;Total;7923
15;Boyacá;15759;Sogamoso;2016;Total;124070
15;Boyacá;15761;Somondoco;2016;Total;3013
15;Boyacá;15762;Sora;2016;Total;3007
15;Boyacá;15763;Sotaquirá;2016;Total;7988
15;Boyacá;15764;Soracá;2016;Total;5861
15;Boyacá;15774;Susacón;2016;Total;2725
15;Boyacá;15776;Sutamarchán;2016;Total;5980
15;Boyacá;15778;Sutatenza;2016;Total;4221
15;Boyacá;15790;Tasco;2016;Total;5955
15;Boyacá;15798;Tenza;2016;Total;3940
15;Boyacá;15804;Tibaná;2016;Total;8991
15;Boyacá;15806;Tibasosa;2016;Total;12499
15;Boyacá;15808;Tinjacá;2016;Total;3226
15;Boyacá;15810;Tipacoque;2016;Total;3446
15;Boyacá;15814;Toca;2016;Total;8654
15;Boyacá;15816;Togüí;2016;Total;4318
15;Boyacá;15820;Tópaga;2016;Total;3589
15;Boyacá;15822;Tota;2016;Total;5121
15;Boyacá;15832;Tununguá;2016;Total;1541
15;Boyacá;15835;Turmequé;2016;Total;6119
15;Boyacá;15837;Tuta;2016;Total;8080
15;Boyacá;15839;Tutazá;2016;Total;2038
15;Boyacá;15842;Úmbita;2016;Total;7442
15;Boyacá;15861;Ventaquemada;2016;Total;15270
15;Boyacá;15879;Viracachá;2016;Total;2858
15;Boyacá;15897;Zetaquira;2016;Total;4652
17;Caldas;17001;Manizales;2016;Total;425208
17;Caldas;17013;Aguadas;2016;Total;22984
17;Caldas;17042;Anserma;2016;Total;36028
17;Caldas;17050;Aranzazu;2016;Total;10831
17;Caldas;17088;Belalcázar;2016;Total;10865
17;Caldas;17174;Chinchiná;2016;Total;50745
17;Caldas;17272;Filadelfia;2016;Total;11779
17;Caldas;17380;La Dorada;2016;Total;70745
17;Caldas;17388;La Merced;2016;Total;6277
17;Caldas;17433;Manzanares;2016;Total;18442
17;Caldas;17442;Marmato;2016;Total;8727
17;Caldas;17444;Marquetalia;2016;Total;13395
17;Caldas;17446;Marulanda;2016;Total;2660
17;Caldas;17486;Neira;2016;Total;21335
17;Caldas;17495;Norcasia;2016;Total;6192
17;Caldas;17513;Pácora;2016;Total;15583
17;Caldas;17524;Palestina;2016;Total;15642
17;Caldas;17541;Pensilvania;2016;Total;20459
17;Caldas;17614;Riosucio;2016;Total;48898
17;Caldas;17616;Risaralda;2016;Total;11092
17;Caldas;17653;Salamina;2016;Total;19703
17;Caldas;17662;Samaná;2016;Total;21144
17;Caldas;17665;San José;2016;Total;5262
17;Caldas;17777;Supía;2016;Total;28029
17;Caldas;17867;Victoria;2016;Total;10163
17;Caldas;17873;Villamaría;2016;Total;62261
17;Caldas;17877;Viterbo;2016;Total;12765
18;Caquetá;18001;Florencia;2016;Total;167157
18;Caquetá;18029;Albania;2016;Total;4949
18;Caquetá;18094;Belén de Los Andaquíes;2016;Total;11305
18;Caquetá;18150;Cartagena del Chairá;2016;Total;29373
18;Caquetá;18205;Curillo;2016;Total;7523
18;Caquetá;18247;El Doncello;2016;Total;19605
18;Caquetá;18256;El Paujíl;2016;Total;17856
18;Caquetá;18410;La Montañita;2016;Total;14720
18;Caquetá;18460;Milán;2016;Total;9636
18;Caquetá;18479;Morelia;2016;Total;3730
18;Caquetá;18592;Puerto Rico;2016;Total;27085
18;Caquetá;18610;San José del Fragua;2016;Total;12379
18;Caquetá;18753;San Vicente del Caguán;2016;Total;49782
18;Caquetá;18756;Solano;2016;Total;10933
18;Caquetá;18785;Solita;2016;Total;6429
18;Caquetá;18860;Valparaíso;2016;Total;7521
19;Cauca;19001;Popayán;2016;Total;310409
19;Cauca;19022;Almaguer;2016;Total;18490
19;Cauca;19050;Argelia;2016;Total;25582
19;Cauca;19075;Balboa;2016;Total;20851
19;Cauca;19100;Bolívar;2016;Total;39164
19;Cauca;19110;Buenos Aires;2016;Total;30550
19;Cauca;19130;Cajibío;2016;Total;41704
19;Cauca;19137;Caldono;2016;Total;38483
19;Cauca;19142;Caloto;2016;Total;28515
19;Cauca;19212;Corinto;2016;Total;25067
19;Cauca;19256;El Tambo;2016;Total;53446
19;Cauca;19290;Florencia;2016;Total;5223
19;Cauca;19300;Guachené;2016;Total;20287
19;Cauca;19318;Guapi;2016;Total;27505
19;Cauca;19355;Inzá;2016;Total;28150
19;Cauca;19364;Jambaló;2016;Total;17154
19;Cauca;19392;La Sierra;2016;Total;10832
19;Cauca;19397;La Vega;2016;Total;24218
19;Cauca;19418;López de Micay;2016;Total;18282
19;Cauca;19450;Mercaderes;2016;Total;22225
19;Cauca;19455;Miranda;2016;Total;30855
19;Cauca;19473;Morales;2016;Total;37470
19;Cauca;19513;Padilla;2016;Total;9828
19;Cauca;19517;Páez;2016;Total;43795
19;Cauca;19532;Patía;2016;Total;36653
19;Cauca;19533;Piamonte;2016;Total;8312
19;Cauca;19548;Piendamó - Tunía;2016;Total;39927
19;Cauca;19573;Puerto Tejada;2016;Total;41209
19;Cauca;19585;Puracé;2016;Total;16756
19;Cauca;19622;Rosas;2016;Total;11393
