,YEAR,DPTO,CODE_DPTO,MUNICIPIO,CODE_MUNICIPIO,LONGITUD,LATITUD,SUI_COUNTER,POPULATION
0,2016,AMAZONAS,91,LETICIA,91001,-69.9415818923,-4.19844539201,3,46301
1,2016,ANTIOQUIA,5,ABEJORRAL,5002,-75.4287403904,5.78930111433,2,20534
2,2016,ANTIOQUIA,5,AMAGA,5030,-75.7019483389,6.03880842381,4,29394
3,2016,ANTIOQUIA,5,AMALFI,5031,-75.0774749239,6.90967360478,1,25194
4,2016,ANTIOQUIA,5,ANDES,5034,-75.878794075,5.65676971311,5,42683
5,2016,ANTIOQUIA,5,ANGOSTURA,5038,-75.3351091186,6.88518441484,1,11486
6,2016,ANTIOQUIA,5,ANORI,5040,-75.1483449609,7.07471004137,1,17723
7,2016,ANTIOQUIA,5,APARTADO,5045,-76.6258909217,7.88325108195,8,115555
8,2016,ANTIOQUIA,5,ARBOLETES,5051,-76.4266581639,8.84991827334,1,28981
9,2016,ANTIOQUIA,5,BARBOSA,5079,-75.3316403017,6.4392260115,4,50281
10,2016,ANTIOQUIA,5,BELLO,5088,-75.5546673053,6.33406558292,28,499621
11,2016,ANTIOQUIA,5,BETANIA,5091,-75.9767139414,5.74619656152,1,10484
12,2016,ANTIOQUIA,5,BETULIA,5093,-75.9845155699,6.11525553285,1,15445
13,2016,ANTIOQUIA,5,CALDAS,5129,-75.6336168248,6.09129760323,10,76766
14,2016,ANTIOQUIA,5,CAREPA,5147,-76.653210744,7.75511548219,1,45489
15,2016,ANTIOQUIA,5,CAUCASIA,5154,-75.1982784645,7.97734097812,1,86492
16,2016,ANTIOQUIA,5,CHIGORODO,5172,-76.6812146131,7.66630069082,4,54908
17,2016,ANTIOQUIA,5,CISNEROS,5190,-75.0872051341,6.53776304826,1,9617
18,2016,ANTIOQUIA,5,CONCORDIA,5209,-75.9084535194,6.04608659615,2,21153
19,2016,ANTIOQUIA,5,COPACABANA,5212,-75.5093435119,6.34863947056,5,74957
20,2016,ANTIOQUIA,5,DONMATIAS,5237,-75.3926751288,6.48560723899,1,18332
21,2016,ANTIOQUIA,5,EBEJICO,5240,-75.7662136607,6.32605663471,1,12227
22,2016,ANTIOQUIA,5,EL BAGRE,5250,-74.7990970119,7.5975218855,3,49488
23,2016,ANTIOQUIA,5,EL CARMEN DE VIBORAL,5148,-75.3342620232,6.08347326731,3,57208
24,2016,ANTIOQUIA,5,EL SANTUARIO,5697,-75.2654679804,6.13685720436,3,34347
25,2016,ANTIOQUIA,5,ENVIGADO,5266,-75.5830089369,6.16700589298,18,218805
26,2016,ANTIOQUIA,5,FREDONIA,5282,-75.6750932516,5.9280855467,2,24143
27,2016,ANTIOQUIA,5,FRONTINO,5284,-76.1307652118,6.77606285319,1,20813
28,2016,ANTIOQUIA,5,GIRARDOTA,5308,-75.4444597681,6.37961535607,3,49613
